 code plate_name plate_id
167 SH.BK0178 农村金融 10000178
168 SH.BK0179 内陆自贸区 10000179
169 SH.BK0180 农业机械 10000180
170 SH.BK0181 农垦概念 10000181
171 SH.BK0182 PPP概念 10000182
172 SH.BK0183 PM2.5 10000183
173 SH.BK0184 券商重仓 10000184
174 SH.BK0185 去IOE概念 10000185
175 SH.BK0186 QFII持股 10000186
176 SH.BK0187 燃料电池 10000187
177 SH.BK0188 融资融券 10000188
178 SH.BK0189 人脑工程 10000189
179 SH.BK0190 深证100 10000190
180 SH.BK0191 数字电视 10000191
181 SH.BK0192 生物育种 10000192
182 SH.BK0193 社保重仓 10000193
183 SH.BK0194 生猪概念 10000194
184 SH.BK0195 深成500 10000195
185 SH.BK0197 食品安全 10000197
186 SH.BK0198 三沙概念 10000198
187 SH.BK0199 涉矿概念 10000199
188 SH.BK0200 送转 10000200
189 SH.BK0201 水利 10000201
190 SH.BK0202 三网融合 10000202
191 SH.BK0203 数字电影 10000203
192 SH.BK0204 上海自贸区 10000204
193 SH.BK0205 上证50 10000205
194 SH.BK0206 上证180 10000206
195 SH.BK0207 ST 10000207
196 SH.BK0208 生态农业 10000208
197 SH.BK0209 石墨烯 10000209
198 SH.BK0210 水域改革 10000210
199 SH.BK0211 上证380 10000211
200 SH.BK0212 手机游戏 10000212
201 SH.BK0213 天津自贸区 10000213
202 SH.BK0214 天然气概念 10000214
203 SH.BK0215 体育概念 10000215
204 SH.BK0216 TMT概念 10000216
205 SH.BK0217 透析 10000217
206 SH.BK0218 特种药 10000218
207 SH.BK0219 铁路基建 10000219
208 SH.BK0220 通用航空 10000220
209 SH.BK0221 特色化工 10000221
210 SH.BK0223 土地改革 10000223
211 SH.BK0224 太阳能 10000224
212 SH.BK0225 未股改 10000225
213 SH.BK0226 物联网 10000226
214 SH.BK0227 网络游戏 10000227
215 SH.BK0228 王亚伟概念 10000228
216 SH.BK0229 无人机 10000229
217 SH.BK0230 新材料 10000230
218 SH.BK0231 小盘 10000231
219 SH.BK0232 循环经济 10000232
220 SH.BK0233 新三板 10000233
221 SH.BK0234 新股未分红 10000234
222 SH.BK0235 新股改革 10000235
223 SH.BK0236 虚拟运营商 10000236
224 SH.BK0237 稀缺资源 10000237
225 SH.BK0238 新媒体 10000238
226 SH.BK0239 新能源汽车 10000239
227 SH.BK0240 稀土永磁 10000240
228 SH.BK0241 西部开发 10000241
229 SH.BK0242 养老概念 10000242
230 SH.BK0243 云计算 10000243
231 SH.BK0244 央视50 10000244
232 SH.BK0245 页岩气 10000245
233 SH.BK0246 移动软件 10000246
234 SH.BK0247 油改概念 10000247
235 SH.BK0248 盐改概念 10000248
236 SH.BK0249 婴童概念 10000249
237 SH.BK0250 预盈预增 10000250
238 SH.BK0251 预亏预减 10000251
239 SH.BK0252 移动支付 10000252
240 SH.BK0253 一带一路 10000253
241 SH.BK0254 整体上市 10000254
242 SH.BK0255 中俄自贸区 10000255
243 SH.BK0256 振兴东北 10000256
244 SH.BK0257 中盘 10000257
245 SH.BK0258 再融资 10000258
246 SH.BK0259 智能手机 10000259
247 SH.BK0260 智能汽车 10000260
248 SH.BK0261 智慧城市 10000261
249 SH.BK0262 重组并购 10000262
250 SH.BK0263 中证500 10000263
251 SH.BK0264 中字头概念 10000264
252 SH.BK0265 转融通 10000265
253 SH.BK0266 智能制造 10000266
254 SH.BK0267 转融券 10000267
255 SH.BK0268 注资承诺 10000268
256 SH.BK0269 舟山自贸区 10000269
257 SH.BK0270 智能穿戴 10000270
258 SH.BK0271 中证100 10000271
259 SH.BK0272 中日韩自贸 10000272
260 SH.BK0273 增持回购 10000273
261 SH.BK0274 中价 10000274
262 SH.BK0275 泽熙概念 10000275
263 SH.BK0276 智能电网 10000276
264 SH.BK0277 在线教育 10000277
265 SH.BK0278 3D打印 10000278
266 SH.BK0279 3D影视 10000279
267 SH.BK0280 4G概念 10000280
268 SH.BK0281 二胎 10000281
269 SH.BK0282 网络彩票 10000282
