 code lot_size stock_name
0 SH.600004 100 白云机场
1 SH.600006 100 东风汽车
2 SH.600009 100 上海机场
3 SH.600017 100 日照港
4 SH.600018 100 上港集团
5 SH.600029 100 南方航空
6 SH.600050 100 中国联通
7 SH.600056 100 中国医药
8 SH.600057 100 象屿股份
9 SH.600058 100 五矿发展
10 SH.600060 100 海信电器
11 SH.600062 100 华润双鹤
12 SH.600066 100 宇通客车
13 SH.600073 100 上海梅林
14 SH.600079 100 人福医药
15 SH.600084 100 中葡股份
16 SH.600085 100 同仁堂
17 SH.600086 100 东方金钰
18 SH.600104 100 上汽集团
19 SH.600108 100 亚盛集团
20 SH.600115 100 东方航空
21 SH.600119 100 长江投资
22 SH.600120 100 浙江东方
23 SH.600122 100 宏图高科
24 SH.600125 100 铁龙物流
25 SH.600138 100 中青旅
26 SH.600153 100 建发股份
27 SH.600158 100 中体产业
28 SH.600161 100 天坛生物
29 SH.600166 100 福田汽车
30 SH.600177 100 雅戈尔
31 SH.600180 100 瑞茂通
32 SH.600196 100 复星医药
33 SH.600201 100 生物股份
34 SH.600216 100 浙江医药
35 SH.600221 100 海航控股
36 SH.600233 100 圆通速递
37 SH.600267 100 海正药业
38 SH.600269 100 赣粤高速
39 SH.600270 100 外运发展
40 SH.600276 100 恒瑞医药
41 SH.600280 100 中央商场
42 SH.600289 100 ST信通
43 SH.600297 100 广汇汽车
44 SH.600298 100 安琪酵母
45 SH.600317 100 营口港
46 SH.600329 100 中新药业
47 SH.600332 100 白云山
48 SH.600335 100 国机汽车
49 SH.600350 100 山东高速
50 SH.600373 100 中文传媒
51 SH.600377 100 宁沪高速
52 SH.600380 100 健康元
53 SH.600398 100 海澜之家
54 SH.600410 100 华胜天成
55 SH.600415 100 小商品城
56 SH.600418 100 江淮汽车
57 SH.600422 100 昆药集团
58 SH.600436 100 片仔癀
59 SH.600438 100 通威股份
60 SH.600446 100 金证股份
61 SH.600511 100 国药股份
62 SH.600518 100 康美药业
63 SH.600519 100 贵州茅台
64 SH.600521 100 华海药业
65 SH.600535 100 天士力
66 SH.600536 100 中国软件
67 SH.600557 100 康缘药业
68 SH.600566 100 济川药业
69 SH.600570 100 恒生电子
70 SH.600571 100 信雅达
71 SH.600572 100 康恩贝
72 SH.600587 100 新华医疗
73 SH.600588 100 用友网络
74 SH.600594 100 益佰制药
75 SH.600597 100 光明乳业
76 SH.600598 100 北大荒
77 SH.600600 100 青岛啤酒
78 SH.600611 100 大众交通
79 SH.600626 100 申达股份
80 SH.600630 100 龙头股份
81 SH.600633 100 浙数文化
82 SH.600634 100 富控互动
83 SH.600637 100 东方明珠
84 SH.600640 100 号百控股
85 SH.600648 100 外高桥
86 SH.600650 100 锦江投资
87 SH.600652 100 游久游戏
88 SH.600655 100 豫园股份
89 SH.600662 100 强生控股
90 SH.600664 100 哈药股份
91 SH.600682 100 南京新百
92 SH.600687 100 刚泰控股
93 SH.600690 100 青岛海尔
94 SH.600694 100 大商股份
95 SH.600704 100 物产中大
96 SH.600711 100 盛屯矿业
97 SH.600717 100 天津港
98 SH.600718 100 东软集团
99 SH.600728 100 佳都科技
100 SH.600729 100 重庆百货
101 SH.600737 100 中粮糖业
102 SH.600739 100 辽宁成大
103 SH.600750 100 江中药业
104 SH.600755 100 厦门国贸
105 SH.600756 100 浪潮软件
106 SH.600757 100 长江传媒
107 SH.600787 100 中储股份
108 SH.600790 100 轻纺城
109 SH.600797 100 浙大网新
110 SH.600804 100 鹏博士
111 SH.600809 100 山西汾酒
112 SH.600811 100 东方集团
113 SH.600826 100 兰生股份
114 SH.600827 100 百联股份
115 SH.600839 100 四川长虹
116 SH.600859 100 王府井
117 SH.600867 100 通化东宝
118 SH.600872 100 中炬高新
119 SH.600873 100 梅花生物
120 SH.600880 100 博瑞传播
121 SH.600887 100 伊利股份
122 SH.600936 100 广西广电
123 SH.600977 100 中国电影
124 SH.600993 100 马应龙
125 SH.600996 100 贵广网络
126 SH.601000 100 唐山港
127 SH.601006 100 大秦铁路
128 SH.601018 100 宁波港
129 SH.601021 100 春秋航空
130 SH.601098 100 中南传媒
131 SH.601111 100 中国国航
132 SH.601116 100 三江购物
133 SH.601228 100 广州港
134 SH.601238 100 广汽集团
135 SH.601258 100 庞大集团
136 SH.601333 100 广深铁路
137 SH.601595 100 上海电影
138 SH.601607 100 上海医药
139 SH.601633 100 长城汽车
140 SH.601718 100 际华集团
141 SH.601777 100 力帆股份
142 SH.601801 100 皖新传媒
143 SH.601811 100 新华文轩
144 SH.601858 100 中国科传
145 SH.601880 100 大连港
146 SH.601888 100 中国国旅
147 SH.601929 100 吉视传媒
148 SH.601933 100 永辉超市
149 SH.601952 100 苏垦农发
150 SH.603000 100 人民网
151 SH.603198 100 迎驾贡酒
152 SH.603258 100 电魂网络
153 SH.603288 100 海天味业
154 SH.603369 100 今世缘
155 SH.603377 100 东方时尚
156 SH.603444 100 吉比特
157 SH.603515 100 欧普照明
158 SH.603528 100 多伦科技
159 SH.603567 100 珍宝岛
160 SH.603569 100 长久物流
161 SH.603589 100 口子窖
162 SH.603708 100 家家悦
163 SH.603766 100 隆鑫通用
164 SH.603777 100 来伊份
165 SH.603816 100 顾家家居
166 SH.603833 100 欧派家居
167 SH.603858 100 步长制药
168 SH.603868 100 飞科电器
169 SH.603877 100 太平鸟
170 SH.603881 100 数据港
171 SH.603883 100 老百姓
172 SH.603885 100 吉祥航空
173 SH.603888 100 新华网
174 SH.603899 100 晨光文具
175 SH.603999 100 读者传媒
