 code name
0 US..IXIC 纳斯达克综合指数
1 US..DJI 道琼斯指数
2 US..DJT 道琼斯交通运输平均指数
3 US..DJU 道琼斯公用事业平均指数
4 US..DJUS 道琼斯美国指数
5 US..DJUSAE 道琼斯美国航空航天与国防指数
6 US..DJUSAF "Dow Jones US Delivery Services Index"
7 US..DJUSAG "Dow Jones US Asset Managers Index"
8 US..DJUSAI 道琼斯美国电子设备指数
9 US..DJUSAL 道琼斯美铝指数
10 US..DJUSAM 道琼斯美国医疗器械指数
11 US..DJUSAP 道琼斯美国汽车零部件指数
12 US..DJUSAR 道琼斯美国航空指数
13 US..DJUSAS 道琼斯美国航空航天指数
14 US..DJUSAT 道琼斯美国汽车零部件指数
15 US..DJUSAU 道琼斯美国汽车指数
16 US..DJUSAV 道琼斯美国媒体代理指数
17 US..DJUSBC 道琼斯美国广播娱乐指数
18 US..DJUSBD 道琼斯美国建筑材料及灯具指数
19 US..DJUSBE "Dow Jones US Business Training & Employment Agencies Index"
20 US..DJUSBK 道琼斯美国银行指数
21 US..DJUSBM 道琼斯美国基础材料指数
22 US..DJUSBS 道琼斯美国基础资源指数
23 US..DJUSBT 道琼斯美国生物技术指数
24 US..DJUSBV 道琼斯美国饮料指数
25 US..DJUSCA 道琼斯美国赌博指数
26 US..DJUSCC 道琼斯美国商品化学品指数
27 US..DJUSCF 道琼斯美国服装配饰指数
28 US..DJUSCG 道琼斯美国旅游休闲指数
29 US..DJUSCH 道琼斯美国化学品指数
30 US..DJUSCL 道琼斯美国煤炭指数
31 US..DJUSCM 道琼斯美国个人产品指数
32 US..DJUSCN 道琼斯美国建筑材料指数
33 US..DJUSCP 道琼斯美国集装箱和包装指数
34 US..DJUSCR 道琼斯美国计算机硬件指数
35 US..DJUSCS 道琼斯美国专业消费者服务指数
36 US..DJUSCT 道琼斯美国电讯设备指数
37 US..DJUSCX 道琼斯美国特种化学品指数
38 US..DJUSCY 道琼斯美国消费者服务指数
39 US..DJUSDB 道琼斯美国酿酒商指数
40 US..DJUSDN 道琼斯美国国防指数
41 US..DJUSDR 道琼斯美国食品和药物零售商指数
42 US..DJUSDS 道琼斯美国工业供应商指数
43 US..DJUSDT "Dow Jones US Diversified REITs"
44 US..DJUSDV 道琼斯美国计算机服务指数
45 US..DJUSEC 道琼斯美国电气元件及设备指数
46 US..DJUSEE 道琼斯美国电子电气设备指数
47 US..DJUSEH 道琼斯美国房地产控股与发展指数
48 US..DJUSEN 道琼斯美国石油和天然气指数
49 US..DJUSES 道琼斯美国房地产服务指数
50 US..DJUSEU 道琼斯美国电力指数
51 US..DJUSFA "Dow Jones US Financial Administration Index"
52 US..DJUSFB 道琼斯美国食品和饮料指数
53 US..DJUSFC 道琼斯美国固定电话电讯指数
54 US..DJUSFD 道琼斯美国食品零售商和批发商指数
55 US..DJUSFE 道琼斯美国工业机械指数
56 US..DJUSFH 道琼斯美国家具指数
57 US..DJUSFI 道琼斯美国金融服务指数
58 US..DJUSFN 道琼斯美国金融指数
59 US..DJUSFO 道琼斯美国食品生产商指数
60 US..DJUSFP 道琼斯美国食品指数
61 US..DJUSFR 道琼斯美国林业与纸业指数
62 US..DJUSFT 道琼斯美国鞋业指数
63 US..DJUSFV 道琼斯美国金融服务综合指数
64 US..DJUSGF 道琼斯美国通用财务指数
65 US..DJUSGI 道琼斯美国通用工业指数
66 US..DJUSGL "Dow Jones US Large-Cap Growth Index"
67 US..DJUSGM "Dow Jones US Mid-Cap Growth Index"
68 US..DJUSGR 道琼斯美国增长指数
69 US..DJUSGS "Dow Jones US Small-Cap Growth Index"
70 US..DJUSGT 道琼斯美国综合零售商指数
71 US..DJUSGU 道琼斯美国天然气分布指数
72 US..DJUSHB 道琼斯美国家居建筑指数
73 US..DJUSHC 道琼斯美国医疗保健指数
74 US..DJUSHD 道琼斯美国耐用家用产品指数
75 US..DJUSHG 道琼斯美国家庭用品指数
76 US..DJUSHI 道琼斯美国家居零售商指数
77 US..DJUSHL "Dow Jones US Hotel & Lodging REITs Index"
78 US..DJUSHN 道琼斯美国无保障住户产品指数
79 US..DJUSHP 道琼斯美国医疗保健提供者指数
80 US..DJUSHR 道琼斯美国商用车辆和卡车指数
81 US..DJUSHV 道琼斯美国重型建筑指数
82 US..DJUSIB 道琼斯美国保险经纪人指数
83 US..DJUSID 道琼斯美国多元化工业指数
84 US..DJUSIF 道琼斯美国全线保险指数
85 US..DJUSIG 道琼斯美国工业产品与服务
86 US..DJUSIL 道琼斯美国人寿保险指数
87 US..DJUSIM 道琼斯美国工业金属指数
88 US..DJUSIN 道琼斯美国工业指数
89 US..DJUSIO 道琼斯美国工业和房地产信托指数
90 US..DJUSIP 道琼斯美国财险保险指数
91 US..DJUSIQ 道琼斯美国工业工程指数
92 US..DJUSIR 道琼斯美国保险指数
93 US..DJUSIS 道琼斯美国支持服务指数
94 US..DJUSIT 道琼斯美国工业交通指数
95 US..DJUSIU 道琼斯美国再保险指数
96 US..DJUSIV 道琼斯美国商业支持服务指数
97 US..DJUSIX 道琼斯美国非人寿保险指数
98 US..DJUSL 道琼斯美国大盘指数
99 US..DJUSLE 道琼斯美国休闲用品指数
100 US..DJUSLG 道琼斯美国酒店指数
101 US..DJUSLTR "Dow Jones US Large-Cap TR Index (EOD)"
102 US..DJUSLW "Dow Jones US Low Cap Index"
103 US..DJUSM "Dow Jones US Mid Cap Index"
104 US..DJUSMC 道琼斯美国医疗保健设备及服务指数
105 US..DJUSME 道琼斯美国媒体指数
106 US..DJUSMF 道琼斯美国抵押贷款融资指数
107 US..DJUSMG 道琼斯美国矿业指数
108 US..DJUSMR 道琼斯美国抵押房地产信托指数
109 US..DJUSMS 道琼斯美国医疗用品指数
110 US..DJUSMT 道琼斯美国海运交通指数
111 US..DJUSMU 道琼斯美国多功能指数
112 US..DJUSNC 道琼斯美国消费品指数
113 US..DJUSNF 道琼斯美国有色金属指数
114 US..DJUSNG 道琼斯美国个人及家庭用品指数
