 code lot_size stock_name
0 HK.00436 20000 新宇环保
1 HK.01885 4000 中国优材
2 HK.08001 4000 东方汇财证券
3 HK.08003 2000 世大控股
4 HK.08005 2000 裕兴科技
5 HK.08006 10000 华泰瑞银
6 HK.08007 10000 环球战略集团
7 HK.08008 1000 新意网集团
8 HK.08009 20000 华夏能源控股
9 HK.08018 10000 汇财金融投资
10 HK.08019 20000 皓文控股
11 HK.08021 10000 汇隆控股
12 HK.08029 5000 太阳国际
13 HK.08030 5000 汇联金融服务
14 HK.08032 8000 非凡中国
15 HK.08041 20000 荟萃国际(控股)
16 HK.08046 4000 恒芯中国
17 HK.08047 4000 中国海洋捕捞
18 HK.08049 4000 吉林长龙药业
19 HK.08050 2000 量子思维
20 HK.08055 8000 中国网络信息科技
21 HK.08066 5000 品创控股
22 HK.08071 5000 中彩网通控股
23 HK.08072 20000 罗马集团
24 HK.08077 5000 昆仑国际金融
25 HK.08081 10000 互娱中国
26 HK.08083 4000 中国创新支付
27 HK.08085 4000 香港生命科学
28 HK.08086 8000 DX.COM控股
29 HK.08088 8000 汇友科技控股
30 HK.08089 1800 华人策略控股
31 HK.08090 2000 中国融保金融集团
32 HK.08095 1000 北大青鸟环宇
33 HK.08100 6000 智易控股
34 HK.08116 20000 中国幸福投资
35 HK.08117 10000 中国基础能源
36 HK.08123 6000 华亿金控
37 HK.08128 8000 中国地能
38 HK.08129 20000 云信投资控股
39 HK.08132 20000 中油港燃
40 HK.08137 2000 洪桥集团
41 HK.08138 1000 同仁堂国药
42 HK.08143 4000 华夏医疗
43 HK.08145 2000 电讯首科
44 HK.08156 5000 众彩股份
45 HK.08158 5000 中国再生医学
46 HK.08166 20000 中国农业生态
47 HK.08167 4000 中国新电信
48 HK.08172 20000 拉近网娱
49 HK.08175 10000 中国数码文化
50 HK.08178 24000 中国信息科技
51 HK.08179 12000 新煮意控股
52 HK.08192 12000 环球能源资源
53 HK.08193 5000 汉华专业服务
54 HK.08198 4000 乐透互娱
55 HK.08201 20000 宝联控股
56 HK.08203 10000 凯顺能源
57 HK.08207 4000 中新控股
58 HK.08220 20000 比高集团
59 HK.08228 20000 国艺娱乐
60 HK.08239 2000 首都金融控股
61 HK.08250 20000 丝路能源
62 HK.08261 8000 海天能源
63 HK.08266 16000 金达集团国际
64 HK.08269 10000 富誉控股
65 HK.08270 40000 中国煤层气
66 HK.08271 2000 环球数码创意
67 HK.08279 4000 亚博科技控股
68 HK.08311 10000 圆美光电
69 HK.08325 10000 中国支付通
70 HK.08337 10000 直通电讯
71 HK.08356 10000 中国新华电视
