 code lot_size stock_name
0 SZ.000417 100 合肥百货
1 SZ.000543 100 皖能电力
2 SZ.000596 100 古井贡酒
3 SZ.000630 100 铜陵有色
4 SZ.000728 100 国元证券
5 SZ.000887 100 中鼎股份
6 SZ.000979 100 中弘股份
7 SZ.002019 100 亿帆医药
8 SZ.002230 100 科大讯飞
9 SZ.002555 100 三七互娱
10 SZ.002556 100 辉隆股份
11 SZ.002597 100 金禾实业
12 SZ.300009 100 安科生物
13 SZ.300088 100 长信科技
14 SZ.300090 100 盛运环保
15 SZ.300274 100 阳光电源
16 SH.600054 100 黄山旅游
17 SH.600063 100 皖维高新
18 SH.600418 100 江淮汽车
19 SH.600496 100 精工钢构
20 SH.600502 100 安徽水利
21 SH.600567 100 山鹰纸业
22 SH.600577 100 精达股份
23 SH.600585 100 海螺水泥
24 SH.600761 100 安徽合力
25 SH.600808 100 马钢股份
26 SH.600983 100 惠而浦
27 SH.600990 100 四创电子
28 SH.601801 100 皖新传媒
29 SH.603589 100 口子窖
