 code lot_size stock_name
0 SH.600011 100 华能国际
1 SH.600015 100 华夏银行
2 SH.600023 100 浙能电力
3 SH.600027 100 华电国际
4 SH.600028 100 中国石化
5 SH.600033 100 福建高速
6 SH.600036 100 招商银行
7 SH.600104 100 上汽集团
8 SH.600183 100 生益科技
9 SH.600312 100 平高电气
10 SH.600325 100 华发股份
11 SH.600642 100 申能股份
12 SH.600664 100 哈药股份
13 SH.600741 100 华域汽车
14 SH.600795 100 国电电力
15 SH.600859 100 王府井
16 SH.600886 100 国投电力
17 SH.600900 100 长江电力
18 SH.601006 100 大秦铁路
19 SH.601088 100 中国神华
20 SH.601158 100 重庆水务
21 SH.601166 100 兴业银行
22 SH.601288 100 农业银行
23 SH.601328 100 交通银行
24 SH.601398 100 工商银行
25 SH.601668 100 中国建筑
26 SH.601818 100 光大银行
27 SH.601939 100 建设银行
28 SH.601988 100 中国银行
29 SH.601998 100 中信银行
