 code lot_size stock_name
0 SZ.000001 100 平安银行
1 SZ.000002 100 万科A
2 SZ.000005 100 世纪星源
3 SZ.000006 100 深振业A
4 SZ.000007 100 全新好
5 SZ.000008 100 神州高铁
6 SZ.000009 100 中国宝安
7 SZ.000011 100 深物业A
8 SZ.000012 100 南玻A
9 SZ.000016 100 深康佳A
10 SZ.000018 100 神州长城
11 SZ.000019 100 深深宝A
12 SZ.000021 100 深科技
13 SZ.000022 100 深赤湾A
14 SZ.000025 100 特力A
15 SZ.000027 100 深圳能源
16 SZ.000028 100 国药一致
17 SZ.000029 100 深深房A
18 SZ.000030 100 富奥股份
19 SZ.000031 100 中粮地产
20 SZ.000034 100 神州数码
21 SZ.000035 100 中国天楹
22 SZ.000036 100 华联控股
23 SZ.000039 100 中集集团
24 SZ.000040 100 东旭蓝天
25 SZ.000042 100 中洲控股
26 SZ.000043 100 中航地产
27 SZ.000045 100 深纺织A
28 SZ.000046 100 泛海控股
29 SZ.000049 100 德赛电池
30 SZ.000050 100 深天马A
31 SZ.000055 100 方大集团
32 SZ.000058 100 深赛格
33 SZ.000059 100 华锦股份
34 SZ.000060 100 中金岭南
35 SZ.000061 100 农产品
36 SZ.000062 100 深圳华强
37 SZ.000063 100 中兴通讯
38 SZ.000065 100 北方国际
39 SZ.000066 100 中国长城
40 SZ.000068 100 华控赛格
41 SZ.000069 100 华侨城A
42 SZ.000070 100 特发信息
43 SZ.000078 100 海王生物
44 SZ.000088 100 盐田港
45 SZ.000089 100 深圳机场
46 SZ.000090 100 天健集团
47 SZ.000096 100 广聚能源
48 SZ.000099 100 中信海直
49 SZ.000100 100 TCL集团
50 SZ.000150 100 宜华健康
51 SZ.000151 100 中成股份
52 SZ.000156 100 华数传媒
53 SZ.000157 100 中联重科
54 SZ.000158 100 常山北明
55 SZ.000166 100 申万宏源
56 SZ.000333 100 美的集团
57 SZ.000338 100 潍柴动力
58 SZ.000400 100 许继电气
59 SZ.000401 100 冀东水泥
60 SZ.000402 100 金融街
61 SZ.000404 100 华意压缩
62 SZ.000407 100 胜利股份
63 SZ.000413 100 东旭光电
64 SZ.000415 100 渤海金控
65 SZ.000417 100 合肥百货
66 SZ.000418 100 小天鹅A
67 SZ.000423 100 东阿阿胶
68 SZ.000425 100 徐工机械
69 SZ.000426 100 兴业矿业
70 SZ.000429 100 粤高速A
71 SZ.000488 100 晨鸣纸业
72 SZ.000498 100 山东路桥
73 SZ.000501 100 鄂武商A
74 SZ.000503 100 海虹控股
75 SZ.000506 100 中润资源
76 SZ.000507 100 珠海港
77 SZ.000510 100 金路集团
78 SZ.000513 100 丽珠集团
79 SZ.000514 100 渝开发
80 SZ.000516 100 国际医学
81 SZ.000517 100 荣安地产
82 SZ.000525 100 红太阳
83 SZ.000528 100 柳工
84 SZ.000533 100 万家乐
85 SZ.000536 100 华映科技
86 SZ.000537 100 广宇发展
87 SZ.000538 100 云南白药
88 SZ.000539 100 粤电力A
89 SZ.000540 100 中天金融
90 SZ.000541 100 佛山照明
91 SZ.000543 100 皖能电力
92 SZ.000547 100 航天发展
93 SZ.000550 100 江铃汽车
94 SZ.000552 100 靖远煤电
95 SZ.000553 100 沙隆达A
96 SZ.000554 100 泰山石油
97 SZ.000555 100 神州信息
98 SZ.000558 100 莱茵体育
99 SZ.000559 100 万向钱潮
100 SZ.000560 100 昆百大A
101 SZ.000561 100 烽火电子
102 SZ.000563 100 陕国投A
103 SZ.000564 100 供销大集
104 SZ.000567 100 海德股份
105 SZ.000568 100 泸州老窖
106 SZ.000571 100 新大洲A
107 SZ.000572 100 海马汽车
108 SZ.000573 100 粤宏远A
109 SZ.000576 100 广东甘化
110 SZ.000581 100 威孚高科
111 SZ.000582 100 北部湾港
112 SZ.000584 100 哈工智能
113 SZ.000587 100 金洲慈航
114 SZ.000591 100 太阳能
115 SZ.000592 100 平潭发展
116 SZ.000596 100 古井贡酒
117 SZ.000598 100 兴蓉环境
118 SZ.000599 100 青岛双星
119 SZ.000600 100 建投能源
120 SZ.000601 100 韶能股份
121 SZ.000603 100 盛达矿业
122 SZ.000605 100 渤海股份
123 SZ.000607 100 华媒控股
124 SZ.000612 100 焦作万方
125 SZ.000615 100 京汉股份
126 SZ.000616 100 海航投资
127 SZ.000617 100 中油资本
128 SZ.000620 100 新华联
129 SZ.000623 100 吉林敖东
130 SZ.000625 100 长安汽车
131 SZ.000627 100 天茂集团
132 SZ.000630 100 铜陵有色
133 SZ.000631 100 顺发恒业
134 SZ.000635 100 英力特
135 SZ.000636 100 风华高科
136 SZ.000650 100 仁和药业
137 SZ.000651 100 格力电器
138 SZ.000652 100 泰达股份
139 SZ.000656 100 金科股份
140 SZ.000657 100 中钨高新
141 SZ.000661 100 长春高新
142 SZ.000662 100 天夏智慧
143 SZ.000665 100 湖北广电
144 SZ.000666 100 经纬纺机
145 SZ.000667 100 美好置业
146 SZ.000669 100 金鸿控股
147 SZ.000671 100 阳光城
148 SZ.000673 100 当代东方
149 SZ.000676 100 智度股份
150 SZ.000680 100 山推股份
151 SZ.000681 100 视觉中国
152 SZ.000682 100 东方电子
153 SZ.000683 100 远兴能源
154 SZ.000685 100 中山公用
155 SZ.000686 100 东北证券
156 SZ.000687 100 华讯方舟
157 SZ.000688 100 建新矿业
158 SZ.000690 100 宝新能源
159 SZ.000700 100 模塑科技
160 SZ.000701 100 厦门信达
161 SZ.000703 100 恒逸石化
162 SZ.000709 100 河钢股份
163 SZ.000710 100 贝瑞基因
164 SZ.000712 100 锦龙股份
