 code lot_size stock_name
0 HK.00135 2000 昆仑能源
1 HK.00144 2000 招商局港口
2 HK.00152 500 深圳国际
3 HK.00165 2000 中国光大控股
4 HK.00257 1000 中国光大国际
5 HK.00267 1000 中信股份
6 HK.00270 2000 粤海投资
7 HK.00291 2000 华润啤酒
8 HK.00363 1000 上海实业控股
9 HK.00371 2000 北控水务集团
10 HK.00392 500 北京控股
11 HK.00688 2000 中国海外发展
12 HK.00762 2000 中国联通
13 HK.00817 2000 中国金茂
14 HK.00836 2000 华润电力
15 HK.00883 1000 中国海洋石油
16 HK.00941 500 中国移动
17 HK.00966 200 中国太平
18 HK.00992 2000 联想集团
19 HK.01109 2000 华润置地
20 HK.01114 2000 华晨中国
21 HK.01193 2000 华润燃气
22 HK.01199 2000 中远海运港口
23 HK.02319 1000 蒙牛乳业
24 HK.02380 1000 中国电力
