 code lot_size stock_name
0 SZ.000018 100 神州长城
1 SZ.000039 100 中集集团
2 SZ.000063 100 中兴通讯
3 SZ.000065 100 北方国际
4 SZ.000088 100 盐田港
5 SZ.000338 100 潍柴动力
6 SZ.000400 100 许继电气
7 SZ.000415 100 渤海金控
8 SZ.000425 100 徐工机械
9 SZ.000582 100 北部湾港
10 SZ.000807 100 云铝股份
11 SZ.000877 100 天山股份
12 SZ.000928 100 中钢国际
13 SZ.000933 100 神火股份
14 SZ.002047 100 宝鹰股份
15 SZ.002092 100 中泰化学
16 SZ.002120 100 韵达股份
17 SZ.002151 100 北斗星通
18 SZ.002202 100 金风科技
19 SZ.002266 100 浙富控股
20 SZ.002353 100 杰瑞股份
21 SZ.002444 100 巨星科技
22 SZ.002630 100 华西能源
23 SZ.300001 100 特锐德
24 SZ.300011 100 鼎汉技术
25 SZ.300208 100 恒顺众昇
26 SH.600010 100 包钢股份
27 SH.600018 100 上港集团
28 SH.600028 100 中国石化
29 SH.600029 100 南方航空
30 SH.600033 100 福建高速
31 SH.600039 100 四川路桥
32 SH.600057 100 象屿股份
33 SH.600105 100 永鼎股份
34 SH.600118 100 中国卫星
35 SH.600256 100 广汇能源
36 SH.600317 100 营口港
37 SH.600320 100 振华重工
38 SH.600338 100 西藏珠峰
39 SH.600340 100 华夏幸福
40 SH.600406 100 国电南瑞
41 SH.600415 100 小商品城
42 SH.600428 100 中远海特
43 SH.600487 100 亨通光电
44 SH.600495 100 晋西车轴
45 SH.600500 100 中化国际
46 SH.600522 100 中天科技
47 SH.600528 100 中铁工业
48 SH.600580 100 卧龙电气
49 SH.600584 100 长电科技
50 SH.600690 100 青岛海尔
51 SH.600704 100 物产中大
52 SH.600717 100 天津港
53 SH.600820 100 隧道股份
54 SH.600967 100 内蒙一机
55 SH.601111 100 中国国航
56 SH.601117 100 中国化学
57 SH.601179 100 中国西电
58 SH.601228 100 广州港
59 SH.601668 100 中国建筑
60 SH.601718 100 际华集团
61 SH.601727 100 上海电气
62 SH.601857 100 中国石油
63 SH.601866 100 中远海发
64 SH.601989 100 中国重工
65 SH.601998 100 中信银行
66 SH.603111 100 康尼机电
67 SH.603169 100 兰石重装
