 code lot_size stock_name
0 SZ.000166 100 申万宏源
1 SZ.000625 100 长安汽车
2 SZ.000776 100 广发证券
3 SZ.000895 100 双汇发展
4 SZ.002252 100 上海莱士
5 SZ.002736 100 国信证券
6 SZ.002739 100 万达电影
7 SH.600000 100 浦发银行
8 SH.600011 100 华能国际
9 SH.600015 100 华夏银行
10 SH.600016 100 民生银行
11 SH.600023 100 浙能电力
12 SH.600028 100 中国石化
13 SH.600030 100 中信证券
14 SH.600061 100 国投资本
15 SH.600085 100 同仁堂
16 SH.600221 100 海航控股
17 SH.600352 100 浙江龙盛
18 SH.600485 100 信威集团
19 SH.600518 100 康美药业
20 SH.600535 100 天士力
21 SH.600637 100 东方明珠
22 SH.600663 100 陆家嘴
23 SH.600674 100 川投能源
24 SH.600705 100 中航资本
25 SH.600739 100 辽宁成大
26 SH.600795 100 国电电力
27 SH.600837 100 海通证券
28 SH.600886 100 国投电力
29 SH.600900 100 长江电力
30 SH.600919 100 江苏银行
31 SH.600999 100 招商证券
32 SH.601006 100 大秦铁路
33 SH.601166 100 兴业银行
34 SH.601169 100 北京银行
35 SH.601198 100 东兴证券
36 SH.601211 100 国泰君安
37 SH.601288 100 农业银行
38 SH.601328 100 交通银行
39 SH.601377 100 兴业证券
40 SH.601390 100 中国中铁
41 SH.601398 100 工商银行
42 SH.601555 100 东吴证券
43 SH.601788 100 光大证券
44 SH.601818 100 光大银行
45 SH.601857 100 中国石油
46 SH.601939 100 建设银行
47 SH.601985 100 中国核电
48 SH.601988 100 中国银行
49 SH.601998 100 中信银行
