 code lot_size stock_name
0 SZ.000016 100 深康佳A
1 SZ.000025 100 特力A
2 SZ.000026 100 飞亚达A
3 SZ.000030 100 富奥股份
4 SZ.000038 100 深大通
5 SZ.000069 100 华侨城A
6 SZ.000100 100 TCL集团
7 SZ.000156 100 华数传媒
8 SZ.000158 100 常山北明
9 SZ.000333 100 美的集团
10 SZ.000417 100 合肥百货
11 SZ.000418 100 小天鹅A
12 SZ.000501 100 鄂武商A
13 SZ.000516 100 国际医学
14 SZ.000521 100 美菱电器
15 SZ.000524 100 岭南控股
16 SZ.000541 100 佛山照明
17 SZ.000550 100 江铃汽车
18 SZ.000559 100 万向钱潮
19 SZ.000560 100 昆百大A
20 SZ.000564 100 供销大集
21 SZ.000572 100 海马汽车
22 SZ.000581 100 威孚高科
23 SZ.000587 100 金洲慈航
24 SZ.000589 100 黔轮胎A
25 SZ.000599 100 青岛双星
26 SZ.000607 100 华媒控股
27 SZ.000625 100 长安汽车
28 SZ.000651 100 格力电器
29 SZ.000663 100 永安林业
30 SZ.000673 100 当代东方
31 SZ.000678 100 襄阳轴承
32 SZ.000679 100 大连友谊
33 SZ.000681 100 视觉中国
34 SZ.000700 100 模塑科技
35 SZ.000715 100 中兴商业
36 SZ.000719 100 大地传媒
37 SZ.000721 100 西安饮食
38 SZ.000726 100 鲁泰A
39 SZ.000753 100 漳州发展
40 SZ.000757 100 浩物股份
41 SZ.000760 100 斯太尔
42 SZ.000793 100 华闻传媒
43 SZ.000796 100 凯撒旅游
44 SZ.000800 100 一汽轿车
45 SZ.000801 100 四川九洲
46 SZ.000802 100 北京文化
47 SZ.000810 100 创维数字
48 SZ.000829 100 天音控股
49 SZ.000839 100 中信国安
50 SZ.000850 100 华茂股份
51 SZ.000851 100 高鸿股份
52 SZ.000868 100 安凯客车
53 SZ.000888 100 峨眉山A
54 SZ.000892 100 欢瑞世纪
55 SZ.000901 100 航天科技
56 SZ.000917 100 电广传媒
57 SZ.000921 100 海信科龙
58 SZ.000927 100 一汽夏利
59 SZ.000955 100 欣龙控股
60 SZ.000957 100 中通客车
61 SZ.000978 100 桂林旅游
62 SZ.000980 100 众泰汽车
63 SZ.000996 100 中国中期
64 SZ.001696 100 宗申动力
65 SZ.002005 100 德豪润达
66 SZ.002024 100 苏宁云商
67 SZ.002027 100 分众传媒
68 SZ.002029 100 七匹狼
69 SZ.002031 100 巨轮智能
70 SZ.002032 100 苏泊尔
71 SZ.002033 100 丽江旅游
72 SZ.002035 100 华帝股份
73 SZ.002042 100 华孚时尚
74 SZ.002045 100 国光电器
75 SZ.002048 100 宁波华翔
76 SZ.002059 100 云南旅游
77 SZ.002071 100 长城影视
78 SZ.002083 100 孚日股份
79 SZ.002084 100 海鸥卫浴
80 SZ.002085 100 万丰奥威
81 SZ.002087 100 新野纺织
82 SZ.002098 100 浔兴股份
83 SZ.002101 100 广东鸿图
84 SZ.002105 100 信隆健康
85 SZ.002126 100 银轮股份
86 SZ.002131 100 利欧股份
87 SZ.002154 100 报喜鸟
88 SZ.002175 100 东方网络
89 SZ.002188 100 巴士在线
90 SZ.002190 100 成飞集成
91 SZ.002193 100 如意集团
92 SZ.002213 100 特尔佳
93 SZ.002239 100 奥特佳
94 SZ.002242 100 九阳股份
95 SZ.002251 100 步步高
96 SZ.002260 100 德奥通航
97 SZ.002265 100 西仪股份
98 SZ.002269 100 美邦服饰
99 SZ.002277 100 友阿股份
100 SZ.002283 100 天润曲轴
101 SZ.002284 100 亚太股份
102 SZ.002290 100 中科新材
103 SZ.002291 100 星期六
104 SZ.002292 100 奥飞娱乐
105 SZ.002327 100 富安娜
106 SZ.002328 100 新朋股份
107 SZ.002343 100 慈文传媒
108 SZ.002345 100 潮宏基
109 SZ.002348 100 高乐股份
110 SZ.002351 100 漫步者
111 SZ.002355 100 兴民智通
112 SZ.002362 100 汉王科技
113 SZ.002363 100 隆基机械
114 SZ.002394 100 联发股份
115 SZ.002397 100 梦洁股份
116 SZ.002400 100 省广股份
117 SZ.002404 100 嘉欣丝绸
118 SZ.002406 100 远东传动
119 SZ.002416 100 爱施德
120 SZ.002418 100 康盛股份
121 SZ.002419 100 天虹股份
122 SZ.002426 100 胜利精密
123 SZ.002429 100 兆驰股份
124 SZ.002434 100 万里扬
125 SZ.002445 100 中南文化
126 SZ.002448 100 中原内配
127 SZ.002454 100 松芝股份
128 SZ.002472 100 双环传动
129 SZ.002488 100 金固股份
130 SZ.002489 100 浙江永强
131 SZ.002494 100 华斯股份
132 SZ.002502 100 骅威文化
133 SZ.002503 100 搜于特
134 SZ.002508 100 老板电器
135 SZ.002510 100 天汽模
136 SZ.002512 100 达华智能
137 SZ.002516 100 旷达科技
138 SZ.002536 100 西泵股份
139 SZ.002537 100 海联金汇
140 SZ.002543 100 万和电气
141 SZ.002553 100 南方轴承
142 SZ.002561 100 徐家汇
143 SZ.002572 100 索菲亚
144 SZ.002574 100 明牌珠宝
145 SZ.002575 100 群兴玩具
146 SZ.002590 100 万安科技
147 SZ.002594 100 比亚迪
148 SZ.002602 100 世纪华通
149 SZ.002605 100 姚记扑克
150 SZ.002607 100 亚夏汽车
151 SZ.002612 100 朗姿股份
152 SZ.002614 100 奥佳华
153 SZ.002616 100 长青集团
154 SZ.002625 100 光启技术
155 SZ.002634 100 棒杰股份
156 SZ.002640 100 跨境通
157 SZ.002656 100 摩登大道
158 SZ.002662 100 京威股份
159 SZ.002664 100 长鹰信质
160 SZ.002668 100 奥马电器
161 SZ.002676 100 顺威股份
162 SZ.002677 100 浙江美大
163 SZ.002678 100 珠江钢琴
164 SZ.002681 100 奋达科技
165 SZ.002699 100 美盛文化
166 SZ.002703 100 浙江世宝
167 SZ.002705 100 新宝股份
168 SZ.002707 100 众信旅游
169 SZ.002708 100 光洋股份
170 SZ.002712 100 思美传媒
171 SZ.002721 100 金一文化
172 SZ.002722 100 金轮股份
173 SZ.002723 100 金莱特
174 SZ.002739 100 万达电影
175 SZ.002759 100 天际股份
176 SZ.002761 100 多喜爱
177 SZ.002762 100 金发拉比
178 SZ.002763 100 汇洁股份
179 SZ.002765 100 蓝黛传动
180 SZ.002780 100 三夫户外
181 SZ.002790 100 瑞尔特
182 SZ.002798 100 帝王洁具
183 SZ.002830 100 名雕股份
184 SZ.002832 100 比音勒芬
185 SZ.002853 100 皮阿诺
186 SZ.002863 100 今飞凯达
187 SZ.002867 100 周大生
188 SZ.300005 100 探路者
189 SZ.300027 100 华谊兄弟
190 SZ.300058 100 蓝色光标
191 SZ.300063 100 天龙集团
192 SZ.300071 100 华谊嘉信
193 SZ.300081 100 恒信东方
194 SZ.300089 100 文化长城
195 SZ.300100 100 双林股份
196 SZ.300133 100 华策影视
197 SZ.300144 100 宋城演艺
198 SZ.300148 100 天舟文化
199 SZ.300160 100 秀强股份
200 SZ.300176 100 鸿特精密
201 SZ.300178 100 腾邦国际
202 SZ.300217 100 东方电热
203 SZ.300242 100 明家联合
204 SZ.300247 100 乐金健康
205 SZ.300251 100 光线传媒
206 SZ.300258 100 精锻科技
207 SZ.300269 100 联建光电
208 SZ.300279 100 和晶科技
209 SZ.300291 100 华录百纳
210 SZ.300304 100 云意电气
211 SZ.300336 100 新文化
212 SZ.300342 100 天银机电
213 SZ.300343 100 联创互联
214 SZ.300392 100 腾信股份
215 SZ.300403 100 地尔汉宇
216 SZ.300413 100 快乐购
217 SZ.300426 100 唐德影视
218 SZ.300432 100 富临精工
219 SZ.300473 100 德尔股份
220 SZ.300507 100 苏奥传感
221 SZ.300526 100 中潜股份
222 SZ.300528 100 幸福蓝海
223 SZ.300547 100 川环科技
224 SZ.300577 100 开润股份
225 SZ.300580 100 贝斯特
226 SZ.300591 100 万里马
227 SZ.300611 100 美力科技
228 SZ.300616 100 尚品宅配
229 SZ.300625 100 三雄极光
230 SZ.300660 100 江苏雷利
231 SZ.300681 100 英搏尔
232 SH.600006 100 东风汽车
233 SH.600037 100 歌华有线
234 SH.600054 100 黄山旅游
235 SH.600060 100 海信电器
236 SH.600066 100 宇通客车
237 SH.600070 100 浙江富润
238 SH.600086 100 东方金钰
239 SH.600104 100 上汽集团
240 SH.600107 100 美尔雅
241 SH.600122 100 宏图高科
242 SH.600135 100 乐凯胶片
243 SH.600136 100 当代明诚
244 SH.600137 100 浪莎股份
245 SH.600138 100 中青旅
246 SH.600148 100 长春一东
247 SH.600158 100 中体产业
248 SH.600166 100 福田汽车
249 SH.600177 100 雅戈尔
250 SH.600178 100 东安动力
251 SH.600220 100 江苏阳光
252 SH.600232 100 金鹰股份
253 SH.600258 100 首旅酒店
254 SH.600261 100 阳光照明
255 SH.600280 100 中央商场
256 SH.600297 100 广汇汽车
257 SH.600303 100 曙光股份
258 SH.600335 100 国机汽车
259 SH.600336 100 澳柯玛
260 SH.600337 100 美克家居
261 SH.600370 100 三房巷
262 SH.600373 100 中文传媒
263 SH.600386 100 北巴传媒
264 SH.600398 100 海澜之家
265 SH.600400 100 红豆股份
266 SH.600418 100 江淮汽车
267 SH.600469 100 风神股份
268 SH.600480 100 凌云股份
269 SH.600493 100 凤竹纺织
270 SH.600523 100 贵航股份
271 SH.600551 100 时代出版
272 SH.600555 100 海航创新
273 SH.600609 100 金杯汽车
274 SH.600612 100 老凤祥
275 SH.600623 100 华谊集团
276 SH.600628 100 新世界
277 SH.600630 100 龙头股份
278 SH.600633 100 浙数文化
279 SH.600637 100 东方明珠
280 SH.600640 100 号百控股
281 SH.600653 100 申华控股
282 SH.600655 100 豫园股份
283 SH.600660 100 福耀玻璃
284 SH.600661 100 新南洋
285 SH.600676 100 交运股份
286 SH.600679 100 上海凤凰
287 SH.600682 100 南京新百
288 SH.600686 100 金龙汽车
289 SH.600687 100 刚泰控股
290 SH.600690 100 青岛海尔
291 SH.600693 100 东百集团
292 SH.600694 100 大商股份
293 SH.600697 100 欧亚集团
294 SH.600698 100 湖南天雁
295 SH.600699 100 均胜电子
296 SH.600706 100 曲江文旅
297 SH.600707 100 彩虹股份
298 SH.600712 100 南宁百货
299 SH.600715 100 文投控股
300 SH.600729 100 重庆百货
301 SH.600741 100 华域汽车
302 SH.600742 100 一汽富维
303 SH.600754 100 锦江股份
304 SH.600757 100 长江传媒
305 SH.600814 100 杭州解百
306 SH.600818 100 中路股份
307 SH.600824 100 益民集团
308 SH.600828 100 茂业商业
309 SH.600831 100 广电网络
310 SH.600838 100 上海九百
311 SH.600839 100 四川长虹
312 SH.600854 100 春兰股份
313 SH.600858 100 银座股份
314 SH.600859 100 王府井
315 SH.600861 100 北京城乡
316 SH.600865 100 百大集团
317 SH.600870 100 厦华电子
318 SH.600891 100 秋林集团
319 SH.600936 100 广西广电
320 SH.600959 100 江苏有线
321 SH.600977 100 中国电影
322 SH.600978 100 宜华生活
323 SH.600983 100 惠而浦
324 SH.600987 100 航民股份
325 SH.600996 100 贵广网络
326 SH.601007 100 金陵饭店
327 SH.601058 100 赛轮金宇
328 SH.601098 100 中南传媒
329 SH.601127 100 小康股份
330 SH.601163 100 三角轮胎
331 SH.601238 100 广汽集团
332 SH.601258 100 庞大集团
333 SH.601311 100 骆驼股份
334 SH.601366 100 利群股份
335 SH.601500 100 通用股份
336 SH.601566 100 九牧王
337 SH.601595 100 上海电影
338 SH.601599 100 鹿港文化
339 SH.601633 100 长城汽车
340 SH.601689 100 拓普集团
341 SH.601718 100 际华集团
342 SH.601777 100 力帆股份
343 SH.601801 100 皖新传媒
344 SH.601811 100 新华文轩
345 SH.601858 100 中国科传
346 SH.601888 100 中国国旅
347 SH.601900 100 南方传媒
348 SH.601928 100 凤凰传媒
349 SH.601929 100 吉视传媒
350 SH.601965 100 中国汽研
351 SH.601966 100 玲珑轮胎
352 SH.601999 100 出版传媒
353 SH.603001 100 奥康国际
354 SH.603006 100 联明股份
355 SH.603008 100 喜临门
356 SH.603009 100 北特科技
357 SH.603023 100 威帝股份
358 SH.603035 100 常熟汽饰
359 SH.603037 100 凯众股份
360 SH.603038 100 华立股份
361 SH.603040 100 新坐标
362 SH.603081 100 大丰实业
363 SH.603089 100 正裕工业
364 SH.603096 100 新经典
365 SH.603101 100 汇嘉时代
366 SH.603116 100 红蜻蜓
367 SH.603166 100 福达股份
368 SH.603178 100 圣龙股份
369 SH.603179 100 新泉股份
370 SH.603180 100 金牌厨柜
371 SH.603196 100 日播时尚
372 SH.603197 100 保隆科技
373 SH.603208 100 江山欧派
374 SH.603239 100 浙江仙通
375 SH.603266 100 天龙股份
376 SH.603303 100 得邦照明
377 SH.603305 100 旭升股份
378 SH.603306 100 华懋科技
379 SH.603313 100 梦百合
380 SH.603319 100 湘油泵
381 SH.603355 100 莱克电气
382 SH.603358 100 华达科技
383 SH.603366 100 日出东方
384 SH.603377 100 东方时尚
385 SH.603385 100 惠达卫浴
386 SH.603389 100 亚振家居
387 SH.603398 100 邦宝益智
388 SH.603515 100 欧普照明
389 SH.603555 100 贵人鸟
390 SH.603558 100 健盛集团
391 SH.603578 100 三星新材
392 SH.603579 100 荣泰健康
393 SH.603586 100 金麒麟
394 SH.603598 100 引力传媒
395 SH.603600 100 永艺股份
396 SH.603608 100 天创时尚
397 SH.603615 100 茶花股份
398 SH.603633 100 徕木股份
399 SH.603665 100 康隆达
400 SH.603667 100 五洲新春
401 SH.603677 100 奇精机械
402 SH.603701 100 德宏股份
403 SH.603726 100 朗迪集团
404 SH.603729 100 龙韵股份
405 SH.603730 100 岱美股份
406 SH.603758 100 秦安股份
407 SH.603766 100 隆鑫通用
408 SH.603767 100 中马传动
409 SH.603768 100 常青股份
410 SH.603787 100 新日股份
411 SH.603788 100 宁波高发
412 SH.603801 100 志邦股份
413 SH.603816 100 顾家家居
