 code lot_size stock_name
0 SZ.000027 100 深圳能源
1 SZ.000088 100 盐田港
2 SZ.000089 100 深圳机场
3 SZ.000156 100 华数传媒
4 SZ.000507 100 珠海港
5 SZ.000539 100 粤电力A
6 SZ.000543 100 皖能电力
7 SZ.000591 100 太阳能
8 SZ.000598 100 兴蓉环境
9 SZ.000600 100 建投能源
10 SZ.000601 100 韶能股份
11 SZ.000685 100 中山公用
12 SZ.000690 100 宝新能源
13 SZ.000793 100 华闻传媒
14 SZ.000826 100 启迪桑德
15 SZ.000839 100 中信国安
16 SZ.000875 100 吉电股份
17 SZ.000883 100 湖北能源
18 SZ.000905 100 厦门港务
19 SZ.000917 100 电广传媒
20 SZ.000958 100 东方能源
21 SZ.002183 100 怡亚通
22 SZ.002245 100 澳洋顺昌
23 SZ.002479 100 富春环保
24 SZ.002573 100 清新环境
25 SZ.002672 100 东江环保
26 SZ.300015 100 爱尔眼科
27 SZ.300070 100 碧水源
28 SZ.300244 100 迪安诊断
29 SZ.300251 100 光线传媒
30 SZ.300347 100 泰格医药
31 SH.600004 100 白云机场
32 SH.600008 100 首创股份
33 SH.600009 100 上海机场
34 SH.600011 100 华能国际
35 SH.600017 100 日照港
36 SH.600018 100 上港集团
37 SH.600021 100 上海电力
38 SH.600026 100 中远海能
39 SH.600027 100 华电国际
40 SH.600029 100 南方航空
41 SH.600037 100 歌华有线
42 SH.600050 100 中国联通
43 SH.600098 100 广州发展
44 SH.600115 100 东方航空
45 SH.600116 100 三峡水利
46 SH.600119 100 长江投资
47 SH.600125 100 铁龙物流
48 SH.600187 100 国中水务
49 SH.600221 100 海航控股
50 SH.600236 100 桂冠电力
51 SH.600269 100 赣粤高速
52 SH.600270 100 外运发展
53 SH.600317 100 营口港
54 SH.600323 100 瀚蓝环境
55 SH.600350 100 山东高速
56 SH.600373 100 中文传媒
57 SH.600377 100 宁沪高速
58 SH.600428 100 中远海特
59 SH.600575 100 皖江物流
60 SH.600578 100 京能电力
61 SH.600611 100 大众交通
62 SH.600635 100 大众公用
63 SH.600637 100 东方明珠
64 SH.600642 100 申能股份
65 SH.600674 100 川投能源
66 SH.600704 100 物产中大
67 SH.600717 100 天津港
68 SH.600751 100 天海投资
69 SH.600758 100 红阳能源
70 SH.600787 100 中储股份
71 SH.600795 100 国电电力
72 SH.600803 100 新奥股份
73 SH.600863 100 内蒙华电
74 SH.600868 100 梅雁吉祥
75 SH.600874 100 创业环保
76 SH.600886 100 国投电力
77 SH.600900 100 长江电力
78 SH.600936 100 广西广电
79 SH.600959 100 江苏有线
80 SH.601000 100 唐山港
81 SH.601006 100 大秦铁路
82 SH.601016 100 节能风电
83 SH.601018 100 宁波港
84 SH.601098 100 中南传媒
85 SH.601111 100 中国国航
86 SH.601139 100 深圳燃气
87 SH.601158 100 重庆水务
88 SH.601228 100 广州港
89 SH.601333 100 广深铁路
90 SH.601801 100 皖新传媒
91 SH.601866 100 中远海发
92 SH.601872 100 招商轮船
93 SH.601880 100 大连港
94 SH.601919 100 中远海控
95 SH.601928 100 凤凰传媒
96 SH.601929 100 吉视传媒
97 SH.601985 100 中国核电
98 SH.601991 100 大唐发电
99 SH.603885 100 吉祥航空
