 code lot_size stock_name
0 SZ.000059 100 华锦股份
1 SZ.000930 100 中粮生化
2 SZ.000937 100 冀中能源
3 SZ.000983 100 西山煤电
4 SZ.002018 100 华信国际
5 SZ.002128 100 露天煤业
6 SZ.002221 100 东华能源
7 SZ.002353 100 杰瑞股份
8 SZ.300191 100 潜能恒信
9 SH.600028 100 中国石化
10 SH.600157 100 永泰能源
11 SH.600188 100 兖州煤业
12 SH.600256 100 广汇能源
13 SH.600339 100 中油工程
14 SH.600348 100 阳泉煤业
15 SH.600395 100 盘江股份
16 SH.600583 100 海油工程
17 SH.600688 100 上海石化
18 SH.600759 100 洲际油气
19 SH.600777 100 新潮能源
20 SH.600803 100 新奥股份
21 SH.600856 100 中天能源
22 SH.600971 100 恒源煤电
23 SH.601001 100 大同煤业
24 SH.601011 100 宝泰隆
25 SH.601088 100 中国神华
26 SH.601225 100 陕西煤业
27 SH.601666 100 平煤股份
28 SH.601699 100 潞安环能
29 SH.601857 100 中国石油
30 SH.601898 100 中煤能源
31 SH.601918 100 新集能源
32 SH.603113 100 金能科技
