 code lot_size stock_name
0 HK.00001 500 长和
1 HK.00002 500 中电控股
2 HK.00003 1000 香港中华煤气
3 HK.00004 1000 九龙仓集团
4 HK.00005 400 汇丰控股
5 HK.00006 500 电能实业
6 HK.00011 100 恒生银行
7 HK.00012 1000 恒基地产
8 HK.00016 1000 新鸿基地产
9 HK.00017 1000 新世界发展
10 HK.00019 500 太古股份公司A
11 HK.00023 200 东亚银行
12 HK.00027 1000 银河娱乐
13 HK.00066 500 港铁公司
14 HK.00083 2000 信和置业
15 HK.00101 1000 恒隆地产
16 HK.00144 2000 招商局港口
17 HK.00151 1000 中国旺旺
18 HK.00175 1000 吉利汽车
19 HK.00267 1000 中信股份
20 HK.00288 500 万洲国际
21 HK.00386 2000 中国石油化工股份
22 HK.00388 100 香港交易所
23 HK.00688 2000 中国海外发展
24 HK.00700 100 腾讯控股
25 HK.00762 2000 中国联通
26 HK.00823 500 领展房产基金
27 HK.00836 2000 华润电力
28 HK.00857 2000 中国石油股份
29 HK.00883 1000 中国海洋石油
30 HK.00939 1000 建设银行
31 HK.00941 500 中国移动
32 HK.00992 2000 联想集团
33 HK.01038 500 长江基建集团
34 HK.01044 500 恒安国际
35 HK.01088 500 中国神华
36 HK.01109 2000 华润置地
37 HK.01113 500 长实集团
38 HK.01299 200 友邦保险
39 HK.01398 1000 工商银行
40 HK.01928 400 金沙中国有限公司
41 HK.01997 1000 九龙仓置业
42 HK.02007 1000 碧桂园
43 HK.02018 500 瑞声科技
44 HK.02318 500 中国平安
45 HK.02319 1000 蒙牛乳业
46 HK.02382 1000 舜宇光学科技
47 HK.02388 500 中银香港
48 HK.02628 1000 中国人寿
49 HK.03328 1000 交通银行
50 HK.03988 1000 中国银行
