 code lot_size stock_name
0 SZ.000069 100 华侨城A
1 SZ.000100 100 TCL集团
2 SZ.000158 100 常山北明
3 SZ.000333 100 美的集团
4 SZ.000423 100 东阿阿胶
5 SZ.000538 100 云南白药
6 SZ.000559 100 万向钱潮
7 SZ.000568 100 泸州老窖
8 SZ.000581 100 威孚高科
9 SZ.000623 100 吉林敖东
10 SZ.000625 100 长安汽车
11 SZ.000651 100 格力电器
12 SZ.000661 100 长春高新
13 SZ.000793 100 华闻传媒
14 SZ.000800 100 一汽轿车
15 SZ.000839 100 中信国安
16 SZ.000858 100 五粮液
17 SZ.000876 100 新希望
18 SZ.000887 100 中鼎股份
19 SZ.000895 100 双汇发展
20 SZ.000963 100 华东医药
21 SZ.000998 100 隆平高科
22 SZ.000999 100 华润三九
23 SZ.002001 100 新和成
24 SZ.002007 100 华兰生物
25 SZ.002019 100 亿帆医药
26 SZ.002024 100 苏宁云商
27 SZ.002030 100 达安基因
28 SZ.002044 100 美年健康
29 SZ.002085 100 万丰奥威
30 SZ.002223 100 鱼跃医疗
31 SZ.002252 100 上海莱士
32 SZ.002294 100 信立泰
33 SZ.002304 100 洋河股份
34 SZ.002385 100 大北农
35 SZ.002426 100 胜利精密
36 SZ.002508 100 老板电器
37 SZ.002572 100 索菲亚
38 SZ.002594 100 比亚迪
39 SZ.002624 100 完美世界
40 SZ.002714 100 牧原股份
41 SZ.002739 100 万达电影
42 SZ.300003 100 乐普医疗
43 SZ.300015 100 爱尔眼科
44 SZ.300027 100 华谊兄弟
45 SZ.300113 100 顺网科技
46 SZ.300144 100 宋城演艺
47 SZ.300146 100 汤臣倍健
48 SZ.300251 100 光线传媒
49 SZ.300498 100 温氏股份
50 SH.600060 100 海信电器
51 SH.600066 100 宇通客车
52 SH.600079 100 人福医药
53 SH.600085 100 同仁堂
54 SH.600104 100 上汽集团
55 SH.600166 100 福田汽车
56 SH.600177 100 雅戈尔
57 SH.600196 100 复星医药
58 SH.600233 100 圆通速递
59 SH.600276 100 恒瑞医药
60 SH.600297 100 广汇汽车
61 SH.600315 100 上海家化
62 SH.600332 100 白云山
63 SH.600373 100 中文传媒
64 SH.600398 100 海澜之家
65 SH.600415 100 小商品城
66 SH.600418 100 江淮汽车
67 SH.600436 100 片仔癀
68 SH.600438 100 通威股份
69 SH.600482 100 中国动力
70 SH.600518 100 康美药业
71 SH.600519 100 贵州茅台
72 SH.600535 100 天士力
73 SH.600633 100 浙数文化
74 SH.600637 100 东方明珠
75 SH.600660 100 福耀玻璃
76 SH.600682 100 南京新百
77 SH.600690 100 青岛海尔
78 SH.600699 100 均胜电子
79 SH.600737 100 中粮糖业
80 SH.600741 100 华域汽车
81 SH.600809 100 山西汾酒
82 SH.600827 100 百联股份
83 SH.600839 100 四川长虹
84 SH.600867 100 通化东宝
85 SH.600873 100 梅花生物
86 SH.600884 100 杉杉股份
87 SH.600887 100 伊利股份
88 SH.600959 100 江苏有线
89 SH.600977 100 中国电影
90 SH.601098 100 中南传媒
91 SH.601238 100 广汽集团
92 SH.601258 100 庞大集团
93 SH.601607 100 上海医药
94 SH.601633 100 长城汽车
95 SH.601718 100 际华集团
96 SH.601888 100 中国国旅
97 SH.601933 100 永辉超市
98 SH.603288 100 海天味业
99 SH.603589 100 口子窖
