 code lot_size stock_name
0 SZ.000156 100 华数传媒
1 SZ.000607 100 华媒控股
2 SZ.000673 100 当代东方
3 SZ.000681 100 视觉中国
4 SZ.000793 100 华闻传媒
5 SZ.000802 100 北京文化
6 SZ.000839 100 中信国安
7 SZ.000917 100 电广传媒
8 SZ.002027 100 分众传媒
9 SZ.002071 100 长城影视
10 SZ.002131 100 利欧股份
11 SZ.002175 100 东方网络
12 SZ.002343 100 慈文传媒
13 SZ.002400 100 省广股份
14 SZ.002445 100 中南文化
15 SZ.002502 100 骅威文化
16 SZ.002624 100 完美世界
17 SZ.002739 100 万达电影
18 SZ.300027 100 华谊兄弟
19 SZ.300058 100 蓝色光标
20 SZ.300063 100 天龙集团
21 SZ.300071 100 华谊嘉信
22 SZ.300133 100 华策影视
23 SZ.300148 100 天舟文化
24 SZ.300251 100 光线传媒
25 SZ.300269 100 联建光电
26 SZ.300291 100 华录百纳
27 SZ.300336 100 新文化
28 SZ.300343 100 联创互联
29 SZ.300364 100 中文在线
30 SZ.300392 100 腾信股份
31 SZ.300426 100 唐德影视
32 SH.600037 100 歌华有线
33 SH.600136 100 当代明诚
34 SH.600373 100 中文传媒
35 SH.600551 100 时代出版
36 SH.600633 100 浙数文化
37 SH.600637 100 东方明珠
38 SH.600715 100 文投控股
39 SH.600757 100 长江传媒
40 SH.600880 100 博瑞传播
41 SH.600936 100 广西广电
42 SH.600959 100 江苏有线
43 SH.600977 100 中国电影
44 SH.601098 100 中南传媒
45 SH.601595 100 上海电影
46 SH.601801 100 皖新传媒
47 SH.601928 100 凤凰传媒
48 SH.601929 100 吉视传媒
49 SH.603999 100 读者传媒
