 code lot_size stock_name
0 SZ.000156 100 华数传媒
1 SZ.000504 100 南华生物
2 SZ.000607 100 华媒控股
3 SZ.000665 100 湖北广电
4 SZ.000673 100 当代东方
5 SZ.000681 100 视觉中国
6 SZ.000719 100 大地传媒
7 SZ.000793 100 华闻传媒
8 SZ.000802 100 北京文化
9 SZ.000892 100 欢瑞世纪
10 SZ.002071 100 长城影视
11 SZ.002343 100 慈文传媒
12 SZ.002445 100 中南文化
13 SZ.002502 100 骅威文化
14 SZ.002699 100 美盛文化
15 SZ.002739 100 万达电影
16 SZ.002858 100 力盛赛车
17 SZ.002905 100 金逸影视
18 SZ.300027 100 华谊兄弟
19 SZ.300133 100 华策影视
20 SZ.300144 100 宋城演艺
21 SZ.300148 100 天舟文化
22 SZ.300251 100 光线传媒
23 SZ.300291 100 华录百纳
24 SZ.300336 100 新文化
25 SZ.300364 100 中文在线
26 SZ.300426 100 唐德影视
27 SZ.300528 100 幸福蓝海
28 SZ.300592 100 华凯创意
29 SZ.300640 100 德艺文创
30 SZ.300654 100 世纪天鸿
