 code lot_size stock_name
0 HK.00386 2000 中国石油化工股份
1 HK.00390 1000 中国中铁
2 HK.00489 2000 东风集团股份
3 HK.00728 2000 中国电信
4 HK.00753 2000 中国国航
5 HK.00857 2000 中国石油股份
6 HK.00902 2000 华能国际电力股份
7 HK.00914 500 海螺水泥
8 HK.00939 1000 建设银行
9 HK.00998 1000 中信银行
10 HK.01088 500 中国神华
11 HK.01099 400 国药控股
12 HK.01186 500 中国铁建
13 HK.01211 500 比亚迪股份
14 HK.01288 1000 农业银行
15 HK.01336 100 新华保险
16 HK.01339 1000 中国人民保险集团
17 HK.01359 1000 中国信达
18 HK.01398 1000 工商银行
19 HK.01658 1000 邮储银行
20 HK.01766 1000 中国中车
21 HK.01776 200 广发证券
22 HK.01800 1000 中国交通建设
23 HK.01816 1000 中广核电力
24 HK.01988 500 民生银行
25 HK.02202 100 万科企业
26 HK.02238 2000 广汽集团
27 HK.02318 500 中国平安
28 HK.02328 2000 中国财险
29 HK.02333 500 长城汽车
30 HK.02601 200 中国太保
31 HK.02628 1000 中国人寿
32 HK.03328 1000 交通银行
33 HK.03898 100 中车时代电气
34 HK.03968 500 招商银行
35 HK.03988 1000 中国银行
36 HK.06030 500 中信证券
37 HK.06837 400 海通证券
38 HK.06881 500 中国银河
39 HK.06886 200 华泰证券
