 code lot_size stock_name
0 SH.600004 100 白云机场
1 SH.600006 100 东风汽车
2 SH.600007 100 中国国贸
3 SH.600012 100 皖通高速
4 SH.600020 100 中原高速
5 SH.600026 100 中远海能
6 SH.600027 100 华电国际
7 SH.600038 100 中直股份
8 SH.600039 100 四川路桥
9 SH.600054 100 黄山旅游
10 SH.600062 100 华润双鹤
11 SH.600072 100 中船科技
12 SH.600073 100 上海梅林
13 SH.600075 100 新疆天业
14 SH.600077 100 宋都股份
15 SH.600086 100 东方金钰
16 SH.600105 100 永鼎股份
17 SH.600114 100 东睦股份
18 SH.600116 100 三峡水利
19 SH.600122 100 宏图高科
20 SH.600123 100 兰花科创
21 SH.600125 100 铁龙物流
22 SH.600138 100 中青旅
23 SH.600141 100 兴发集团
24 SH.600143 100 金发科技
25 SH.600162 100 香江控股
26 SH.600166 100 福田汽车
27 SH.600171 100 上海贝岭
28 SH.600172 100 黄河旋风
29 SH.600175 100 美都能源
30 SH.600176 100 中国巨石
31 SH.600183 100 生益科技
32 SH.600188 100 兖州煤业
33 SH.600197 100 伊力特
34 SH.600200 100 江苏吴中
35 SH.600206 100 有研新材
36 SH.600210 100 紫江企业
37 SH.600216 100 浙江医药
38 SH.600226 100 瀚叶股份
39 SH.600230 100 沧州大化
40 SH.600236 100 桂冠电力
41 SH.600239 100 云南城投
42 SH.600240 100 华业资本
43 SH.600255 100 梦舟股份
44 SH.600261 100 阳光照明
45 SH.600267 100 海正药业
46 SH.600269 100 赣粤高速
47 SH.600270 100 外运发展
48 SH.600273 100 嘉化能源
49 SH.600277 100 亿利洁能
50 SH.600280 100 中央商场
51 SH.600284 100 浦东建设
52 SH.600292 100 远达环保
53 SH.600295 100 鄂尔多斯
54 SH.600299 100 安迪苏
55 SH.600305 100 恒顺醋业
56 SH.600310 100 桂东电力
57 SH.600312 100 平高电气
58 SH.600323 100 瀚蓝环境
59 SH.600325 100 华发股份
60 SH.600329 100 中新药业
61 SH.600335 100 国机汽车
62 SH.600337 100 美克家居
63 SH.600343 100 航天动力
64 SH.600346 100 恒力股份
65 SH.600348 100 阳泉煤业
66 SH.600350 100 山东高速
67 SH.600352 100 浙江龙盛
68 SH.600366 100 宁波韵升
69 SH.600372 100 中航电子
70 SH.600373 100 中文传媒
71 SH.600377 100 宁沪高速
72 SH.600380 100 健康元
73 SH.600387 100 海越股份
74 SH.600388 100 龙净环保
75 SH.600391 100 航发科技
76 SH.600395 100 盘江股份
77 SH.600398 100 海澜之家
78 SH.600399 100 抚顺特钢
79 SH.600400 100 红豆股份
80 SH.600405 100 动力源
81 SH.600409 100 三友化工
82 SH.600410 100 华胜天成
83 SH.600416 100 湘电股份
84 SH.600418 100 江淮汽车
85 SH.600420 100 现代制药
86 SH.600422 100 昆药集团
87 SH.600426 100 华鲁恒升
88 SH.600428 100 中远海特
89 SH.600438 100 通威股份
90 SH.600439 100 瑞贝卡
91 SH.600446 100 金证股份
92 SH.600458 100 时代新材
93 SH.600459 100 贵研铂业
94 SH.600460 100 士兰微
95 SH.600481 100 双良节能
96 SH.600483 100 福能股份
97 SH.600486 100 扬农化工
98 SH.600490 100 鹏欣资源
99 SH.600491 100 龙元建设
100 SH.600495 100 晋西车轴
101 SH.600498 100 烽火通信
102 SH.600499 100 科达洁能
103 SH.600500 100 中化国际
104 SH.600507 100 方大特钢
105 SH.600521 100 华海药业
106 SH.600526 100 菲达环保
107 SH.600536 100 中国软件
108 SH.600548 100 深高速
109 SH.600551 100 时代出版
110 SH.600559 100 老白干酒
111 SH.600563 100 法拉电子
112 SH.600565 100 迪马股份
113 SH.600566 100 济川药业
114 SH.600567 100 山鹰纸业
115 SH.600571 100 信雅达
116 SH.600572 100 康恩贝
117 SH.600577 100 精达股份
118 SH.600578 100 京能电力
119 SH.600580 100 卧龙电气
120 SH.600582 100 天地科技
121 SH.600583 100 海油工程
122 SH.600584 100 长电科技
123 SH.600587 100 新华医疗
124 SH.600594 100 益佰制药
125 SH.600596 100 新安股份
126 SH.600597 100 光明乳业
127 SH.600600 100 青岛啤酒
128 SH.600611 100 大众交通
129 SH.600612 100 老凤祥
130 SH.600613 100 神奇制药
131 SH.600614 100 鹏起科技
132 SH.600617 100 国新能源
133 SH.600626 100 申达股份
134 SH.600633 100 浙数文化
135 SH.600635 100 大众公用
136 SH.600641 100 万业企业
137 SH.600642 100 申能股份
